property_type,sector,balcony,agePossession,luxury_category,floor_category,facing,bedRoom,bathroom,built_up_area,servant room,store room,furnishing_type,price
ind-house,sector 14,3,Old Property,Class D,Low Floor,North-West,3,3,2250.0,0,0,1,3.4
flat,sector 3,1,Old Property,Class D,Low Floor,West,2,2,722.0,0,0,0,0.5
flat,sector 67,3+,Relatively New,Class A,High Floor,North-West,3,3,2097.0,1,0,0,2.87
flat,sector 53,3+,Under Construction,Class D,Low Floor,South,3,3,2622.0,0,0,1,5.6
ind-house,sector 57,3+,Relatively New,Class C,Low Floor,East,2,8,1458.0,0,1,0,3.8
ind-house,sector 39,1,Relatively New,Class D,Low Floor,East,1,1,450.0,0,0,1,0.34
flat,sector 88b,3+,Under Construction,Class C,Low Floor,North-East,2,4,1350.0,0,0,1,1.1
flat,sector 22,3+,New Property,Class B,Middle Floor,North-East,3,5,2801.0,1,0,1,4.63
ind-house,sector 9a,3+,Relatively New,Class D,Low Floor,South-East,9,9,3150.0,0,0,0,4.5
flat,sector-33 sohna,2,Under Construction,Class C,Low Floor,North,3,3,2093.0,0,0,1,2.5
flat,sector 79,3,New Property,Class D,Middle Floor,East,3,4,2050.0,0,0,1,1.72
flat,sector 84,3,Relatively New,Class D,Middle Floor,South-East,3,3,1834.0,1,0,1,1.49
flat,sector 72,3+,Relatively New,Class D,High Floor,East,4,5,2625.0,1,0,1,3.5
flat,sector 104,2,Under Construction,Class D,Low Floor,North,3,2,1121.0,0,0,1,1.4
flat,sector 106,3+,Relatively New,Class A,Middle Floor,North-East,3,4,1186.0,1,0,1,1.25
flat,sector 91,2,Relatively New,Class C,Middle Floor,East,2,2,1188.0,0,0,2,0.9
flat,sector 104,3+,New Property,Class B,High Floor,North-East,3,4,2544.0,1,0,1,2.3
flat,sector 92,3,Relatively New,Class D,Middle Floor,North-East,3,2,1242.0,0,0,1,0.65
flat,sector 63,3,New Property,Class C,High Floor,West,4,4,3956.0,0,0,1,7.52
flat,sector 67,2,Relatively New,Class D,Low Floor,East,3,3,200.0,0,0,1,1.2
ind-house,sector 2,2,Moderately Old,Class C,Low Floor,South-West,4,3,1557.0,0,1,0,2.68
flat,sector 102,2,Under Construction,Class D,Low Floor,North-West,2,2,1017.0,0,0,1,1.05
flat,sector 50,3,Moderately Old,Class D,Middle Floor,South-East,4,3,10000.0,1,0,1,8.0
flat,sector 1 imt manesar,3+,Moderately Old,Class C,Low Floor,South,3,3,1900.0,1,0,1,0.86
flat,sector 113,2,Relatively New,Class A,Middle Floor,North-East,3,2,1286.0,0,0,0,1.9
ind-house,sector 41,3+,Moderately Old,Class D,Low Floor,North,2,9,1620.0,1,0,0,4.25
flat,sector 81,1,Relatively New,Class D,Low Floor,East,2,2,1000.0,0,0,1,0.6
flat,sector 89,3+,New Property,Class D,Low Floor,South-West,3,3,2122.0,1,0,1,1.3
ind-house,sector 7,1,New Property,Class D,Low Floor,North-East,2,1,450.0,0,0,1,0.95
flat,sector 69,1,Relatively New,Class C,Middle Floor,West,3,3,1394.0,0,0,0,1.3
flat,sector 113,3+,Relatively New,Class A,Low Floor,East,3,3,2460.0,1,0,1,3.0
flat,sector 109,3,Relatively New,Class B,Middle Floor,North-East,3,4,2344.0,1,0,1,2.25
flat,sector 103,1,Relatively New,Class D,Low Floor,North-East,1,1,400.0,0,0,1,0.23
ind-house,sector 25,3+,Moderately Old,Class D,Low Floor,East,5,5,9500.0,1,0,2,10.0
flat,sector 92,3,Under Construction,Class D,Low Floor,North-East,2,2,847.0,0,0,1,0.78
ind-house,sector 17b,3+,Old Property,Class D,Low Floor,South-East,4,4,3500.0,1,1,1,6.95
flat,sector-33 sohna,2,Under Construction,Class C,Low Floor,East,2,2,1492.0,0,0,1,1.2
flat,sohna road,3,Relatively New,Class A,Low Floor,South-East,3,3,1344.0,0,0,1,0.78
flat,sohna road,2,Relatively New,Class A,Low Floor,North-West,2,2,913.0,0,0,1,0.52
flat,sector 65,3+,Relatively New,Class A,Low Floor,North-East,4,4,2194.0,1,0,2,2.77
flat,sector 83,3,Relatively New,Class C,Middle Floor,South,2,2,1300.0,0,0,0,0.95
ind-house,sector 9,1,Old Property,Class D,Low Floor,South-East,2,2,360.0,0,0,1,0.35
flat,sector 56,2,Under Construction,Class D,Low Floor,South,4,4,2085.0,0,0,1,2.0
flat,sector 70,2,Under Construction,Class D,Middle Floor,North-West,3,4,1419.0,0,0,1,0.99
ind-house,sector 25,3,Old Property,Class D,Low Floor,North,5,4,1350.0,1,0,1,4.35
flat,sector 79,1,New Property,Class C,Low Floor,North,2,2,546.0,0,0,1,0.36
flat,sector 84,0,Relatively New,Class D,Middle Floor,North,2,2,550.0,0,0,1,0.39
flat,sector 84,3+,Relatively New,Class A,Middle Floor,North-East,3,3,1525.0,0,0,1,0.9
flat,sector 109,0,New Property,Class D,Low Floor,North-East,4,1,3008.0,0,0,1,1.6
flat,sohna road,2,New Property,Class C,Middle Floor,West,2,2,616.0,0,0,1,0.35
flat,sector 47,3+,Moderately Old,Class B,Middle Floor,East,3,3,1891.0,1,0,0,2.4
flat,sector 63a,2,Under Construction,Class D,Low Floor,East,2,2,980.0,0,0,1,1.65
flat,sector 37d,3,New Property,Class D,Low Floor,East,2,2,626.0,0,0,1,0.65
flat,sector 85,3+,Relatively New,Class A,Low Floor,West,4,5,2390.0,1,0,1,2.2
flat,sector 85,3,Relatively New,Class D,Middle Floor,North,4,4,2600.0,0,0,1,2.13
flat,sector 43,2,Relatively New,Class D,Middle Floor,West,4,5,2665.0,1,0,1,6.5
flat,sector 67,3,Relatively New,Class D,Low Floor,East,3,3,2200.0,1,0,0,2.99
flat,sector 95,3,Relatively New,Class D,Middle Floor,North,4,3,2824.0,1,0,1,1.1
flat,sector 37d,3+,New Property,Class D,Middle Floor,North-East,3,3,1986.0,0,0,0,1.98
flat,sector 2,3+,Old Property,Class B,Middle Floor,North,3,3,1614.0,0,0,2,1.4
ind-house,sector 6,0,Moderately Old,Class D,Low Floor,North-East,6,4,240.0,0,0,1,1.0
flat,sector 48,3+,Moderately Old,Class A,Middle Floor,North-East,4,4,2136.0,1,0,0,2.65
flat,sector 74,2,Relatively New,Class A,High Floor,South,2,2,1510.0,0,0,0,1.6
flat,sohna road,2,Relatively New,Class D,Middle Floor,North,2,2,1275.0,0,0,1,0.9
flat,sohna road,2,Moderately Old,Class C,Low Floor,North-East,2,2,1350.0,0,0,1,0.75
flat,sector 50,3+,Moderately Old,Class A,Middle Floor,East,3,3,2400.0,1,0,1,2.7
ind-house,sector 67a,2,New Property,Class B,Low Floor,East,4,4,2700.0,0,0,0,1.83
flat,sector 91,3+,Relatively New,Class C,Middle Floor,North,3,3,1700.0,0,0,1,1.4
flat,sector 72,3+,Relatively New,Class D,Middle Floor,West,4,5,2625.0,1,0,1,3.5
flat,sector-33 sohna,3,Under Construction,Class C,Middle Floor,North-East,2,2,1449.0,0,0,1,1.4
flat,sector 70,2,Moderately Old,Class C,Low Floor,South-West,3,2,1078.0,0,0,1,1.0
flat,sector 2,2,Relatively New,Class D,Middle Floor,East,2,2,800.0,0,0,1,0.35
ind-house,sector 57,3+,New Property,Class D,Low Floor,North-East,9,9,2700.0,1,0,0,7.25
flat,sector 90,3+,Relatively New,Class A,Middle Floor,South-East,3,3,1817.0,1,0,1,1.29
flat,sector 113,2,Relatively New,Class C,Middle Floor,South,2,2,1081.0,0,0,1,1.45
ind-house,sohna road,3+,Relatively New,Class D,Low Floor,North-East,5,5,1350.0,0,0,1,1.35
flat,sector 85,3+,Relatively New,Class C,Middle Floor,East,4,5,2017.0,1,0,0,1.49
flat,sector 2,3,Moderately Old,Class C,Middle Floor,South-West,2,2,1283.0,0,0,1,1.02
ind-house,sector 2,2,Old Property,Class D,Low Floor,West,4,4,1557.0,0,0,1,2.5
flat,sector 22,3+,New Property,Class D,Middle Floor,North-East,4,6,2778.0,1,0,2,4.8
flat,sector 1 imt manesar,3+,Moderately Old,Class C,Low Floor,South,3,3,1707.0,1,0,1,0.73
ind-house,sector 23,2,Old Property,Class D,Low Floor,East,4,4,3078.0,0,0,1,5.0
flat,sohna road,2,New Property,Class D,Middle Floor,West,2,2,589.0,0,0,1,0.28
flat,sector 113,3+,Under Construction,Class C,High Floor,East,4,5,2060.0,0,0,0,2.57
flat,sector-33 sohna,2,Under Construction,Class C,High Floor,North-East,3,2,1857.0,0,0,1,1.67
ind-house,sector-33 sohna,3,Relatively New,Class C,Low Floor,North,2,2,1400.0,0,0,0,1.15
flat,sector 72,3+,Relatively New,Class C,Low Floor,East,4,4,3853.0,1,0,1,6.5
flat,sector 65,2,Relatively New,Class A,Middle Floor,North-East,2,2,1010.0,0,0,0,1.42
flat,sector 70,3+,Relatively New,Class B,Low Floor,North-West,6,7,5333.0,1,0,1,5.0
flat,sector 2,1,Moderately Old,Class C,Middle Floor,North-East,1,1,666.0,0,0,0,0.6
flat,sector 85,3,Relatively New,Class D,Middle Floor,North-East,3,4,1925.0,0,0,1,1.83
flat,sector 69,2,Relatively New,Class A,Low Floor,West,3,3,1326.0,0,0,2,1.51
flat,sector-33 sohna,3+,Under Construction,Class D,Middle Floor,West,2,2,1254.0,0,0,1,1.27
ind-house,laxman vihar phase 2,1,Moderately Old,Class D,Low Floor,South-East,1,1,70.0,0,0,1,0.65
flat,sector 65,3,Relatively New,Class B,Low Floor,North-East,3,3,1526.0,1,0,0,2.36
flat,sector 70a,3+,Relatively New,Class D,Middle Floor,North-East,3,3,2150.0,0,0,1,2.75
flat,sector 36a,2,Relatively New,Class C,High Floor,North,2,2,1479.0,0,0,1,2.3
flat,sector 84,3+,Relatively New,Class C,Middle Floor,North,3,3,1564.0,0,0,1,0.85
flat,sector 102,3+,Relatively New,Class C,Middle Floor,North,3,3,2222.0,1,0,0,1.98
flat,sector 102,3,New Property,Class A,Middle Floor,North-East,3,3,1617.0,0,0,0,1.95
flat,sector 48,3+,Moderately Old,Class D,Low Floor,West,4,4,3000.0,0,0,1,3.45
flat,sector 108,3,Relatively New,Class A,Middle Floor,North-East,2,2,1167.0,1,0,1,0.97
flat,sector 108,3,Moderately Old,Class C,Low Floor,North-West,3,4,1771.32,0,0,1,1.65
flat,sector 60,2,Relatively New,Class B,Low Floor,North-West,2,3,1405.0,0,0,1,2.5
flat,sector 81,3,Moderately Old,Class D,Low Floor,North-East,3,3,1982.0,1,0,0,1.28
flat,sector 28,2,New Property,Class C,Middle Floor,South-East,2,2,1278.0,0,0,2,1.91
ind-house,sector 2,3+,Moderately Old,Class D,Low Floor,North,4,4,2642.0,1,1,1,4.99
flat,sector 69,2,Relatively New,Class C,Low Floor,West,4,4,1822.0,0,0,1,2.0
flat,sector 66,3,Relatively New,Class B,Middle Floor,North,3,3,2885.0,1,1,1,4.6
flat,sector 99a,3,Relatively New,Class D,Low Floor,North-East,3,3,1790.0,1,0,1,1.16
flat,sector 108,3,Relatively New,Class B,Low Floor,North,2,3,1283.0,0,0,1,1.02
flat,sector 113,3,New Property,Class A,High Floor,North-East,3,4,2600.0,1,0,1,3.05
flat,sector 49,3,Moderately Old,Class B,Low Floor,North,3,3,2178.0,0,0,1,1.69
ind-house,sector 25,3,Moderately Old,Class D,Low Floor,North-West,4,3,1800.0,0,0,1,6.5
flat,sector 90,3,Relatively New,Class B,Low Floor,North,2,2,1224.0,0,0,1,0.65
flat,sector 66,2,Relatively New,Class C,Middle Floor,North,2,2,1188.0,0,0,0,1.51
flat,sector 60,2,Relatively New,Class D,Middle Floor,East,2,3,1250.0,1,0,0,2.15
flat,sector 71,1,Relatively New,Class C,Middle Floor,South-West,2,2,558.0,0,0,1,0.6
flat,sector 48,2,Relatively New,Class C,Middle Floor,East,3,4,1527.0,0,0,1,1.78
flat,sector 109,3,Relatively New,Class A,Middle Floor,West,3,4,1860.0,1,0,1,2.2
ind-house,sector 48,3,Moderately Old,Class D,Low Floor,North-East,4,4,4000.0,1,0,1,7.65
flat,iffco chowk,3,Moderately Old,Class B,Low Floor,West,3,2,1510.0,1,0,1,1.85
flat,sector 70,3,Relatively New,Class B,Middle Floor,North,3,5,1529.0,1,0,1,1.6
ind-house,sector 25,3,Old Property,Class C,Low Floor,North,5,6,2700.0,1,1,0,10.0
ind-house,sector 66,3+,Relatively New,Class A,Low Floor,East,4,4,3240.0,1,1,0,12.0
flat,sector 112,2,Relatively New,Class A,Middle Floor,North-East,3,3,2225.56,0,0,0,3.4
flat,sector 113,2,New Property,Class C,Middle Floor,West,2,2,1418.0,0,0,1,1.5
ind-house,sector 4,1,New Property,Class D,Low Floor,North-East,3,2,684.0,0,0,1,0.7
flat,sector 106,3+,Relatively New,Class A,High Floor,North-East,4,4,2100.0,1,0,0,1.35
ind-house,sector 7,2,Moderately Old,Class C,Low Floor,East,2,2,1080.0,0,0,0,1.55
ind-house,sector 26,3+,Old Property,Class C,Low Floor,North,5,5,1800.0,1,1,1,5.8
flat,sohna road,3,Relatively New,Class A,Middle Floor,North-East,2,2,1156.0,0,0,1,0.71
flat,sector 81,3+,Relatively New,Class D,Middle Floor,East,3,3,1750.0,1,0,2,2.28
flat,sector 65,2,Relatively New,Class A,Low Floor,East,3,3,1650.0,1,0,1,2.35
flat,sector 81,3+,New Property,Class D,Middle Floor,South-West,4,4,3700.0,1,0,2,4.4
flat,sector 92,3,Under Construction,Class D,High Floor,North-East,3,3,2278.0,1,0,1,1.25
flat,sector-33 sohna,3,Under Construction,Class D,Low Floor,East,2,2,1279.0,0,0,1,1.65
flat,sector 103,3+,Relatively New,Class B,Low Floor,North-East,4,6,2607.0,1,0,0,2.2
ind-house,sector 46,3+,Moderately Old,Class C,Low Floor,North-West,5,4,1449.0,1,0,0,3.55
flat,sector 59,1,Under Construction,Class D,Low Floor,South-West,3,3,2550.0,0,0,1,4.02
flat,sector 67a,1,New Property,Class D,Middle Floor,North,2,2,657.0,0,0,1,0.7
flat,sector 83,2,Relatively New,Class A,Low Floor,South-East,3,3,1578.0,0,1,0,1.0
flat,sector 66,3,Relatively New,Class A,Middle Floor,North-East,3,2,1700.0,1,0,0,2.4
flat,sector 85,3,Moderately Old,Class B,Middle Floor,South-East,3,4,1450.0,1,0,0,1.77
ind-house,sector 4,0,Old Property,Class D,Low Floor,East,3,3,117.0,0,0,1,0.7
flat,sector 52,3,Moderately Old,Class B,Middle Floor,North,4,3,2093.0,1,0,2,2.0
flat,sector 65,3,Under Construction,Class C,High Floor,North-East,3,3,1867.0,0,0,1,2.8
flat,sector 86,3+,Relatively New,Class A,High Floor,South-West,3,4,1580.0,0,1,1,1.56
ind-house,sector 8,0,Moderately Old,Class D,Low Floor,North-East,3,1,550.0,0,0,1,0.62
